template_key,template_name,template_type,subject,content,supported_variables,status,created_by,created_at,updated_by,updated_at,is_general,organization_id,user_type,is_static
TEAM_WELCOME_NOTIFICATION,Notificación de bienvenida a los nuevos miembros cuando se agregan al equipo.,NOTIFICATION,¡Bienvenidos a {{team_name}}! 🎉,Te han agregado al equipo {{team_name}}.,"{{member_name}},{{team_name}}",True,1,2024-12-02 00:00:00.627679,NULL,NULL,True,NULL,0,True
NEW_MEMBER_ADDED_TO_TEAM_NOTIFICATION,Se envía una notificación a los miembros del equipo cuando se agrega un nuevo miembro.,NOTIFICATION,Nuevo miembro añadido a {{team_name}} 🆕,{{member_name}} se unió al equipo {{team_name}}.,"{{member_name}},{{team_name}}",True,1,2024-12-02 00:00:00.627679,NULL,NULL,True,NULL,0,True
