id,template_key,template_name,template_type,subject,content,supported_variables,status,created_by,created_at,updated_by,updated_at
1,FORGOT_PASSWORD,Reinicio de contraseÃ±a de SEPS-Cambridge,EMAIL,Reinicio de contraseÃ±a de SEPS-Cambridge,"<p>Estimado/a {{username}},</p>
<p>Se ha solicitado el reinicio de la contraseÃ±a para su cuenta SEPS-Cambridge. Por favor, haga clic en el siguiente enlace para reiniciarla:</p>
<p><a href=""{{url}}"" target=""_blank"">{{url}}</a></p>","{{username}},{{url}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
2,YOUR_OTP_CODE,Tu cÃ³digo OTP,EMAIL,Tu cÃ³digo OTP,"<p>Estimado/a {{username}},</p>
<p>Su contraseÃ±a de un solo uso (OTP) es</p>
<p><strong>{{otpCode}}</strong></p>
<p>Utilice esta OTP en los prÃ³ximos {{minutes}} minutos</p>","{{username}},{{otpCode}},{{minutes}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
3,REGISTER_YOUR_OTP_CODE,Tu cÃ³digo OTP,EMAIL,Tu cÃ³digo OTP,"<p>Estimado/a,</p>
<p>Su contraseÃ±a de un solo uso (OTP) es</p>
<p><strong>{{otpCode}}</strong></p>
<p>Utilice esta OTP en los prÃ³ximos {{minutes}} minutos</p>","{{username}},{{otpCode}},{{minutes}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
4,ACCOUNT_ACTIVATION,ActivaciÃ³n de gateway,EMAIL,ActivaciÃ³n de gateway,"<p>Estimado/a {{username}},</p>
<p>Su cuenta en gateway ha sido creada. Por favor, haga clic en el siguiente enlace para activarla:</p>
<p><a href=""{{url}}"">{{url}}</a></p>","{{username}},{{url}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
5,WELCOME_TO_TEAM_FOR_ASSIGNED_MEMBER,Bienvenido al equipo,EMAIL,Bienvenido al equipo {{teamName}},"<p>Estimado/a {{username}},</p>
<p>¡Bienvenido al equipo {{teamName}}! Estamos encantados de contar con usted a bordo.</p>","{{username}},{{teamName}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
6,NEW_MEMBER_ADDED_TO_TEAM,Nuevo miembro agregado al equipo,EMAIL,Nuevo miembro agregado al equipo {{teamName}},"<p>Estimado/a {{username}},</p>
<p>Los siguientes nuevos miembros se han agregado a su equipo {{teamName}}:</p>
<p>{{membersName}}</p>","{{username}},{{teamName}},{{membersName}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
7,FI_USER_CREATION,Creación de usuarios FI,EMAIL,Creación de usuarios FI,"<p>Estimado/a {{username}},</p>
<p>Su cuenta de usuario FI ha sido creada bajo la organización {{organizationName}}, haga clic en la siguiente URL para acceder a ella:</p>
<p><a href=""{{url}}"">{{url}}</a></p>","{{username}},{{organizationName}},{{url}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
8,SEPS_USER_CREATION,Creación de usuarios SEPS,EMAIL,Creación de usuarios SEPS,"<p>Estimado/a {{username}},</p>
<p>Su cuenta de usuario SEPS ha sido creada, haga clic en la siguiente URL para acceder a ella:</p>
<p><a href=""{{url}}"">{{url}}</a></p>","{{username}},{{url}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
9,CLAIM_TICKET_CREATED,Ticket de reclamo creado,EMAIL,Ticket de reclamo creado,"<p>Estimado {{username}},</p>
<p>Su ticket con ID #{{ticketNumber}} ha sido creado exitosamente.</p>
<p>Detalles del reclamo:</p>
<ul>
  <li>
    <strong>Tipo de reclamo:</strong>
    <span>{{claimType}}</span>
  </li>
  <li>
    <strong>Subtipo de reclamo:</strong>
    <span>{{claimSubType}}</span>
  </li>
  <li>
    <strong>Nombre de la entidad:</strong>
    <span>{{razonSocial}}</span>
  </li>
  <li>
    <strong>Identificación Fiscal de la Entidad (RUC):</strong>
    <span>{{ruc}}</span>
  </li>
  <li>
    <strong>Prioridad:</strong>
    <span>{{priority}}</span>
  </li>
  <li>
    <strong>Estado:</strong>
    <span>{{status}}</span>
  </li>
</ul>
<p>
  <a href=""{{url}}"" target=""_blank"">Ver detalles del reclamo</a>
</p>","{{username}},{{ticketNumber}},{{claimType}},{{claimSubType}},{{razonSocial}},{{ruc}},{{priority}},{{status}},{{url}}",True,1,2024-12-02 00:00:00.627679,1,2024-12-02 00:00:00.627679
